  SITE      DAY     MONTH    YEAR     RMILE   STATION  LB.DIST   DEPTH   MEANVEL    QW      CONC      QS      LOAD     TEMP      DO       PH      COND     TURB    SECCHI     TOC      CO3      DOC      POC      TUN      TFN      NO2
M402.2          6        3       85    402.2        5      -99     5.98      -99      -99      492      -99      -99        1     11.1      7.4      175      784      -99     16.2     31.3      6.7      9.5      3.9      3.7     0.17
M402.2          6        3       85    402.2        7      -99     6.95      -99      -99      362      -99      -99        1     11.2      7.4      165      992      -99     20.5     28.3      7.5       13      4.5      4.1     0.18
M402.2          6        3       85    402.2        9      -99     7.13      -99      -99      333      -99      -99        1     10.4      7.9      160     1344      -99     21.4     26.5      6.9     14.5      5.2      4.6     0.09
M402.2         18        3       85    402.2        1      -99     2.21      -99      -99       89      -99      -99      2.8     12.2      -99      210      208       32     11.1     34.2      7.5      3.6      2.5      2.4     0.05
M402.2         18        3       85    402.2        3      -99     4.44      -99      -99       96      -99      -99      2.8     12.4      -99      220      224       33     11.5     32.9      8.1      3.4      2.3      2.3     0.05
M402.2         18        3       85    402.2        5      -99     5.39      -99      -99      100      -99      -99      2.8     12.2      -99      175      208       33     11.7     32.3      8.2      3.5      2.5      2.4     0.05
M402.2         18        3       85    402.2        7      -99      6.5      -99      -99      110      -99      -99      2.8     12.4      -99      200      192       35     12.2     31.9      7.8      4.4      2.8      2.8     0.06
M402.2         18        3       85    402.2        9      -99     6.75      -99      -99      115      -99      -99      2.8     11.6      -99      170      224       28       12     31.9      7.6      4.4      3.6      3.5     0.06
M402.2         10        6       85    402.2        1      -99     0.97      -99      -99    50.13      -99      -99       22      8.1      8.1      380       35     27.9       16     34.3     13.4      2.6      1.5      1.2     0.08
M402.2         10        6       85    402.2        3      -99        3      -99      -99    55.06      -99      -99       22      9.6      7.9      385       35     27.9      -99      -99      -99      -99      -99      -99      -99
M402.2         10        6       85    402.2        5      -99      3.9      -99      -99    56.75      -99      -99       22      7.8      7.9      370     37.5    31.75      -99      -99      -99      -99      -99      -99      -99
M402.2         10        6       85    402.2        7      -99     4.95      -99      -99    55.53      -99      -99       22      7.9      7.8      370       38    31.75     19.7     33.3     15.2      4.5      1.5      1.2     0.08
M402.2         10        6       85    402.2        9      -99     5.15      -99      -99    64.91      -99      -99       22      7.2      7.7      370     46.5    31.75     19.1     32.9     14.4      4.7      1.5      1.3     0.08
M402.2         28        8       85    402.2        1      -99     0.89  0.00228      -99     28.6      -99      -99       22      -99      9.4      310       22       49       22       31     19.9      2.1        1     0.73     0.01
M402.2         28        8       85    402.2        5      -99     3.26  0.00333      -99     38.2      -99      -99       22      -99        9      320       28     48.5     21.5     31.9     17.4      4.1     0.92     0.77     0.01
M402.2         28        8       85    402.2        9      -99     5.06  0.00381      -99     37.4      -99      -99       23      -99      9.9      320       29       41     19.3     32.2     15.8      3.5     0.97     0.74     0.01
S397.1          6       11       84    397.1        1       65     2.63    0.405  1034.71      196  2252.21    17929      7.5      9.7      8.4      265      122      -99     30.7     36.4       23      7.7      3.5      3.2     0.09
S397.1          6       11       84    397.1        3      165     6.42     0.55  1034.71      202  7694.67    17929        7      9.8      8.3      265      132      -99     30.5     36.6     22.7      7.8      3.1      2.9     0.09
S397.1          6       11       84    397.1        6      320     4.34    0.594  1034.71      223  6201.86    17929      6.5       10      8.5      260      147      -99     31.6     35.4     22.4      9.2      2.8      2.5      0.1
S397.1          6       11       84    397.1       10      550     3.26    0.359  1034.71      141  1780.21    17929      7.5      -99      8.2      255      100      -99     29.1       34     22.3      6.8      2.6      2.4     0.09
S402.2          5       11       84    402.2        3      200     3.77    0.597  1301.41      193  2233.47  22307.7        8     10.1      7.8      270       88      -99     24.2     36.4       21      3.2      2.6      2.5     0.13
S402.2          5       11       84    402.2        5      366     3.99    0.624  1301.41      207  2649.93  22307.7        8     10.2        8      270      110      -99     25.9     35.9     20.5      5.4      2.4      2.2     0.13
S402.2          5       11       84    402.2        7      459      3.3    0.677  1301.41      201   2308.9  22307.7        7     10.4      7.9      260      118      -99     25.3     35.8     19.6      5.7      2.2      2.1     0.12
S402.2          5       11       84    402.2        9      543     2.89    0.649  1301.41      204  1967.34  22307.7        7     10.1      8.2      260      124      -99     26.3     35.7       21      5.3      2.2      2.1     0.12
S402.2          6        3       85    402.2        1      -99      4.6      -99      -99      321      -99      -99        1       12      7.3      160     1232      -99     31.7     27.4      3.2     28.5      5.9      4.5     0.24
S402.2          6        3       85    402.2        3      -99     4.67      -99      -99      311      -99      -99        1       12      7.3      160     1328      -99     27.3       30      3.3       24      6.1      4.4     0.22
S402.2          6        3       85    402.2        5      -99     4.83      -99      -99      298      -99      -99        1     11.9      7.6      170     1424      -99     21.3     30.7      5.3       16      5.7      4.4      0.2
S402.2          6        3       85    402.2        7      -99     4.53      -99      -99      374      -99      -99        1     11.2      7.8      175     1104      -99     17.2     32.4      5.5     11.7      4.8        4     0.19
S402.2          6        3       85    402.2        9      -99        4      -99      -99      446      -99      -99        1     11.2      7.8      175      912      -99     16.5     32.8      5.4     11.1      4.5      3.9     0.18
S402.2         18        3       85    402.2        1      -99     3.76      -99      -99       77      -99      -99      2.8     12.4      7.5      250      208       30     11.5     39.3      7.3      4.2      4.1        4     0.06
S402.2         18        3       85    402.2        3      -99     3.75      -99      -99       77      -99      -99      2.8       12      7.5      240      208       33     10.8     39.2      7.1      3.7      3.6      3.6     0.06
S402.2         18        3       85    402.2        5      -99     4.21      -99      -99       89      -99      -99      2.8     12.4      -99      235      176       35     10.4     37.3      7.3      3.1        3      2.9     0.06
S402.2         18        3       85    402.2        7      -99     3.46      -99      -99       88      -99      -99      2.8     12.4      -99      235      224       35     11.9     34.6      8.4      3.5      2.7      2.6     0.06
S402.2         18        3       85    402.2        9      -99     2.78      -99      -99       89      -99      -99      2.8     12.4      -99      220      192       39     11.3     33.9      8.3        3      2.5      2.4     0.05
S402.2         10        6       85    402.2        1      -99     1.97      -99      -99    60.91      -99      -99       22      8.2      7.4      395     38.5     27.9     16.7     39.4     14.7        2        2      1.8     0.09
S402.2         10        6       85    402.2        3      -99     3.27      -99      -99    60.91      -99      -99       22      8.5      7.4      390       37     28.5      -99      -99      -99      -99      -99      -99      -99
S402.2         10        6       85    402.2        5      -99      2.6      -99      -99    53.44      -99      -99       22      9.8      7.6      390       37       33     16.4     36.1     13.9      2.5      1.8      1.3     0.09
S402.2         10        6       85    402.2        7      -99     2.19      -99      -99    54.26      -99      -99       22      8.1      7.8      385       38     30.5      -99      -99      -99      -99      -99      -99      -99
S402.2         10        6       85    402.2        9      -99     1.35      -99      -99    52.57      -99      -99       22     10.4      8.2      385       38     30.5     16.5     34.9     13.2      3.3      1.5      1.3      0.1
S402.2         28        8       85    402.2        1      -99     1.62    0.327      -99    30.31      -99      -99     21.5      -99      8.2      320       29     42.5     21.8     32.1     18.7      3.1        1     0.76     0.01
S402.2         28        8       85    402.2        5      -99     2.61    0.371      -99    30.53      -99      -99       22      -99      9.5      315       34       46     22.4     31.9     19.7      2.7     0.99     0.84     0.01
S402.2         28        8       85    402.2        9      -99     1.88    0.369      -99     28.7      -99      -99       22      -99      7.6      320       39       49     22.6     31.3     20.3      2.3      1.1     0.92     0.01
SKNM            5       11       84      396        3       40     4.57    0.374  111.015      405  794.943  3881.56      7.5      9.4        8      260      300      -99     30.2     30.3     23.5      6.7      6.4      6.1     0.17
SKNM            6        3       85      396        3      -99     5.01      -99      -99     1412      -99      -99        2       11        8      110      -99      -99     40.8     14.9      4.9     35.9      8.1      6.5      0.1
SKNM           28        8       85      396        3      -99     3.44    0.183      -99     91.5      -99      -99       24      -99      7.9      450       74       19     16.3     41.5     12.6      3.7      1.4      1.2     0.09




























































   NO3      NH3     TKNU     TKNF      PO4     TPO4     HARD      VOL
     3.2     0.18     0.57     0.46     0.12     0.27      190      335
       3     0.18     0.58     0.48     0.15     0.28      184      300
     2.6     0.18     0.55     0.44     0.12     0.24      174      295
     2.5     0.18     0.57     0.46     0.14     0.27      156      370
     3.1     0.23     0.59     0.43     0.18     0.31      169      325
    0.65     0.37     0.86     0.74     0.13     0.22      196      365
    0.67     0.27     0.73     0.67     0.12     0.19      194      345
    0.67     0.26     0.71     0.68     0.11     0.16      194      305
    0.55     0.23     0.78     0.66      0.1     0.18      186      355
    0.46     0.38     0.83     0.77     0.12      0.2      182      375
     3.2     0.08     0.55     0.53     0.14      0.2      194      300
     3.2     0.07     0.51     0.47     0.14     0.22      190      280
     2.7     0.18      0.5     0.46     0.13     0.24      182      320
     2.4     0.23     0.54     0.42     0.13     0.25      163      330
       3     0.23     0.51     0.37     0.18      0.3      170      315
    0.77      0.3     0.82     0.74     0.12     0.19      188      315
    0.77     0.26     0.76     0.71     0.11     0.16      184      340
    0.56     0.37     0.84     0.79     0.12     0.16      171      255
    0.17     0.15     0.69     0.63     0.16      0.2      175      240
    0.17     0.21     0.86     0.86     0.15      0.3      175      185
    0.18     0.26     0.77     0.69      0.2     0.28      175      410
     2.9     0.18     0.51     0.45     0.12     0.27      177      360
